id,original_comment,stemmed_comment,toxicity_score,severity_level,category,is_cyberbullying,sample_weight
1,😢 😮 😅 😊 🎉,,0,safe,non-cyberbullying,0,0.5290237467018469
2,RRQ 😅😅,rrq,0,safe,non-cyberbullying,0,0.5290237467018469
3,"Roam Gatot emang otot kawat tulang besi, keras banget 😂",roam gatot memang otot kawat tulang besi keras banget,0,safe,non-cyberbullying,0,0.5290237467018469
4,gantilah rezzzz cuma beban aja,ganti rezzzz cuma beban,0,safe,non-cyberbullying,0,0.5290237467018469
5,Kyy gajelas,kyy gajelas,0,safe,non-cyberbullying,0,0.5290237467018469
6,cobain deh Angkakembar2 benar benar gampang menang besar,cobain deh angkakembar benar benar gampang memang benar,0,safe,non-cyberbullying,0,0.5290237467018469
7,Idok itu r7 bukan?,idok r bukan,0,safe,non-cyberbullying,0,0.5290237467018469
8,jangan gampang ke gank,jangan gampang gank,0,safe,non-cyberbullying,0,0.5290237467018469
9,Tank oon,tank oon,0,safe,non-cyberbullying,0,0.5290237467018469
10,Ini rrq vs rrq 😂,rrq vs rrq,0,safe,non-cyberbullying,0,0.5290237467018469
11,Kyy jadi kaya bot mainnya,kyy jadi kaya bot main,3,moderate_toxic,non-cyberbullying,0,0.5290237467018469
12,rrq,rrq,0,safe,non-cyberbullying,0,0.5290237467018469
13,Out rinz,out rinz,0,safe,non-cyberbullying,0,0.5290237467018469
14,Rinz ga ada kata bijak lagi kah 🤣🤣,rinz ada kata bijak kah,0,safe,non-cyberbullying,0,0.5290237467018469
15,Ya mudah-mudahan la di akhir season 16 nanti ..rrq tu GK jdi time lawak lgi...soal ny 2 x finnal ya kan..😂😂😂😂,mudahmudahan la akhir season rrq tu jadi time lawak lgisoal ny x finnal akan,0,safe,non-cyberbullying,0,0.5290237467018469
16,Di rrq tu yg goblok tu pak apek...rrq tu sebener nya dri season14 GK perlu yg nama nya ..rombak time ..yg perlu itu..rombak mental tim dan belajar dari kekalahan ...,rrq tu goblok tu pak apekrrq tu sebener season perlu nama rombak time perlu iturombak mental tim ajar dari kalah,4,moderate_toxic,cyberbullying,1,9.113636363636363
17,Vyn? Dia jadi coach sekarang?,vyn jadi coach sekarang,0,safe,non-cyberbullying,0,0.5290237467018469
18,Evos bot,evos bot,3,moderate_toxic,non-cyberbullying,0,0.5290237467018469
19,Parah ini,parah,1,minor_negative,non-cyberbullying,0,0.5290237467018469
