id,username,original_comment,cleaned_comment,normalized_comment,stopword_removed,stemmed_comment,toxicity_score,severity_level,category,matched_toxic_words,is_cyberbullying,sample_weight
1,@AbangDenay-g3k,😢 😮 😅 😊 🎉,,,,,0,safe,non-cyberbullying,,0,0.5290237467018469
2,@GalihZamzam,RRQ 😅😅,rrq,rrq,rrq,rrq,0,safe,non-cyberbullying,,0,0.5290237467018469
3,@AdulSyahputra404,"Roam Gatot emang otot kawat tulang besi, keras banget 😂",roam gatot emang otot kawat tulang besi keras banget,roam gatot memang otot kawat tulang besi keras banget,roam gatot memang otot kawat tulang besi keras banget,roam gatot memang otot kawat tulang besi keras banget,0,safe,non-cyberbullying,,0,0.5290237467018469
4,@DRAKEN_mickey,gantilah rezzzz cuma beban aja,gantilah rezzzz cuma beban aja,gantilah rezzzz cuma beban saja,gantilah rezzzz cuma beban,ganti rezzzz cuma beban,0,safe,non-cyberbullying,,0,0.5290237467018469
5,@silverrain347,Kyy gajelas,kyy gajelas,kyy gajelas,kyy gajelas,kyy gajelas,0,safe,non-cyberbullying,,0,0.5290237467018469
6,@AdellaPutri-w4o,cobain deh Angkakembar2 benar benar gampang menang besar,cobain deh angkakembar benar benar gampang menang besar,cobain deh angkakembar benar benar gampang memang benar,cobain deh angkakembar benar benar gampang memang benar,cobain deh angkakembar benar benar gampang memang benar,0,safe,non-cyberbullying,,0,0.5290237467018469
7,@Amatir_koh,Idok itu r7 bukan?,idok itu r bukan,idok itu r bukan,idok r bukan,idok r bukan,0,safe,non-cyberbullying,,0,0.5290237467018469
8,@Tangzzz-777,jangan gampang ke gank,jangan gampang ke gank,jangan gampang ke gank,jangan gampang gank,jangan gampang gank,0,safe,non-cyberbullying,,0,0.5290237467018469
9,@cokycoky6518,Tank oon,tank oon,tank oon,tank oon,tank oon,0,safe,non-cyberbullying,,0,0.5290237467018469
10,@agungprayogi9671,Ini rrq vs rrq 😂,ini rrq vs rrq,ini rrq vs rrq,rrq vs rrq,rrq vs rrq,0,safe,non-cyberbullying,,0,0.5290237467018469
11,@AcunSeptia,Kyy jadi kaya bot mainnya,kyy jadi kaya bot mainnya,kyy jadi kaya bot mainnya,kyy jadi kaya bot mainnya,kyy jadi kaya bot main,3,moderate_toxic,non-cyberbullying,bot(gaming:3),0,0.5290237467018469
12,@alfinwirapratamaalfin1265,rrq,rrq,rrq,rrq,rrq,0,safe,non-cyberbullying,,0,0.5290237467018469
13,@novalval2308,Out rinz,out rinz,out rinz,out rinz,out rinz,0,safe,non-cyberbullying,,0,0.5290237467018469
