id,original_comment,stemmed_comment,toxicity_score,severity_level,category,is_cyberbullying,sample_weight
1,😢 😮 😅 😊 🎉,,0,safe,non-cyberbullying,0,0.5300732217573222
2,RRQ 😅😅,rrq,0,safe,non-cyberbullying,0,0.5300732217573222
3,"Roam Gatot emang otot kawat tulang besi, keras banget 😂",roam gatot memang otot kawat tulang besi keras banget,0,safe,non-cyberbullying,0,0.5300732217573222
4,gantilah rezzzz cuma beban aja,ganti rezzzz cuma beban,0,safe,non-cyberbullying,0,0.5300732217573222
5,Kyy gajelas,kyy gajelas,0,safe,non-cyberbullying,0,0.5300732217573222
6,cobain deh Angkakembar2 benar benar gampang menang besar,cobain deh angkakembar benar benar gampang memang benar,0,safe,non-cyberbullying,0,0.5300732217573222
7,Idok itu r7 bukan?,idok r bukan,0,safe,non-cyberbullying,0,0.5300732217573222
8,jangan gampang ke gank,jangan gampang gank,0,safe,non-cyberbullying,0,0.5300732217573222
9,Tank oon,tank oon,0,safe,non-cyberbullying,0,0.5300732217573222
10,Ini rrq vs rrq 😂,rrq vs rrq,0,safe,non-cyberbullying,0,0.5300732217573222
11,Kyy jadi kaya bot mainnya,kyy jadi kaya bot main,3,moderate_toxic,non-cyberbullying,0,0.5300732217573222
12,rrq,rrq,0,safe,non-cyberbullying,0,0.5300732217573222
13,Out rinz,out rinz,0,safe,non-cyberbullying,0,0.5300732217573222
14,Rinz ga ada kata bijak lagi kah 🤣🤣,rinz ada kata bijak kah,0,safe,non-cyberbullying,0,0.5300732217573222
15,Ya mudah-mudahan la di akhir season 16 nanti ..rrq tu GK jdi time lawak lgi...soal ny 2 x finnal ya kan..😂😂😂😂,mudahmudahan la akhir season rrq tu jadi time lawak lgisoal ny x finnal akan,0,safe,non-cyberbullying,0,0.5300732217573222
16,Di rrq tu yg goblok tu pak apek...rrq tu sebener nya dri season14 GK perlu yg nama nya ..rombak time ..yg perlu itu..rombak mental tim dan belajar dari kekalahan ...,rrq tu goblok tu pak apekrrq tu sebener season perlu nama rombak time perlu iturombak mental tim ajar dari kalah,4,moderate_toxic,cyberbullying,1,8.81304347826087
17,Vyn? Dia jadi coach sekarang?,vyn jadi coach sekarang,0,safe,non-cyberbullying,0,0.5300732217573222
18,Evos bot,evos bot,3,moderate_toxic,non-cyberbullying,0,0.5300732217573222
19,Parah ini,parah,1,minor_negative,non-cyberbullying,0,0.5300732217573222
20,Coach EVOS  musuh dalam selimut kocak bner,coach evos musuh selimut kocak bner,0,safe,non-cyberbullying,0,0.5300732217573222
21,Sendal kenapa masih dipertahankan ya epos epos,sendal kasih tahan epos epos,0,safe,non-cyberbullying,0,0.5300732217573222
22,Lucunya evos udh tau rrq snowbol malah war terus 😄,lucu evos tahu rrq snowbol malah war terus,0,safe,non-cyberbullying,0,0.5300732217573222
23,Kasian albertt berusaha sendiri,kasi albertt usaha sendiri,0,safe,non-cyberbullying,0,0.5300732217573222
24,Gabakal juara rrq 100%,gabakal juara rrq,0,safe,non-cyberbullying,0,0.5300732217573222
25,Setsujin is back🎉❤,setsujin is back,0,safe,non-cyberbullying,0,0.5300732217573222
26,"17:18 masa menit10 beda 14k gold, udah kaya main di GM😅",masa menit beda k gold kaya main gm,0,safe,non-cyberbullying,0,0.5300732217573222
27,"🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 gokil bgt, pecah trs ga sia2 anjay",gokil banget pecah terus sia anjay,1,minor_negative,non-cyberbullying,0,0.5300732217573222
28,"🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Lunas utang, auto kaya cok",lunas utang auto kaya cok,0,safe,non-cyberbullying,0,0.5300732217573222
29,"🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Cuma depo 100k, jd sultan",cuma depo k jadi sultan,0,safe,non-cyberbullying,0,0.5300732217573222
30,🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Depo 50 jadi 5jt anjay,depo jadi jt anjay,1,minor_negative,non-cyberbullying,0,0.5300732217573222
31,🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Depo dikit lunas utang cok,depo dikit lunas utang cok,0,safe,non-cyberbullying,0,0.5300732217573222
32,"🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Baru depo 50 ribu, langsung mekswin 5 juta. Gokil ga sih?",baru depo ribu langsung mekswin juta gokil sih,0,safe,non-cyberbullying,0,0.5300732217573222
33,🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 member bru pasti jepe,member bru jepe,0,safe,non-cyberbullying,0,0.5300732217573222
34,🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Modal kecil mekswin trs,modal kecil mekswin terus,0,safe,non-cyberbullying,0,0.5300732217573222
35,"🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 Baru maen udah mekswin, gila!",baru maen mekswin gila,0,safe,non-cyberbullying,0,0.5300732217573222
36,🌟𝐃𝐎𝐑𝐀𝟕𝟕🌟 mekswin trs jd lupa utang,mekswin terus jadi lupa utang,0,safe,non-cyberbullying,0,0.5300732217573222
